Episode,Kick_Speed,friction,variance_friction,Rewards,Stop_Distance
2040,44.92,0.73,0.17,-1009.51,-0.02
2041,41.1,0.62,0.18,-249.41,1.4
2042,47.42,0.75,0.14,-608.31,0.01
2046,37.79,0.62,0.28,-577.26,0.09
2051,59.26,0.74,0.2,-1033.6,-0.07
2057,54.18,0.97,0.23,-1022.63,-0.11
2058,58.57,0.76,0.26,-1038.37,-0.04
2059,48.07,0.77,0.13,-307.44,1.08
2060,57.39,0.56,0.28,-1050.38,-0.47
2061,54.57,0.92,0.21,-1020.43,-0.2
2063,53.76,0.76,0.08,-1005.72,-0.01
2064,44.77,0.69,0.18,-1011.42,-0.01
2066,47.68,0.84,0.19,-1013.38,-0.05
2067,44.11,0.5,0.22,-1024.85,-0.01
2069,40.53,0.82,0.28,-1008.48,-0.0
2071,41.44,0.88,0.27,-1008.05,-0.0
2072,37.86,0.58,0.23,-443.72,0.5
2073,50.05,0.45,0.22,-1039.58,-0.28
2074,43.85,0.79,0.29,-1018.99,-0.12
2075,49.75,0.85,0.24,-1020.15,-0.08
2076,48.22,0.77,0.17,-1014.14,-0.01
2080,55.14,0.61,0.17,-1030.47,-0.17
2082,43.11,0.38,0.25,-1034.83,-0.13
2086,37.81,0.77,0.32,-98.85,2.84
2089,60.84,0.61,0.07,-1016.98,-0.16
2093,44.52,0.93,0.23,-311.74,1.05
2094,39.14,0.59,0.19,-460.36,0.45
2095,44.24,0.74,0.25,-1018.55,-0.04
2097,46.27,0.55,0.13,-1015.12,-0.01
2098,44.9,0.65,0.22,-1021.22,-0.2
2099,44.17,0.69,0.17,-1010.83,-0.07
2101,51.74,0.58,0.19,-1030.93,-0.35
2102,52.8,0.63,0.12,-1018.62,-0.21
2105,41.42,0.36,0.15,-1021.81,-0.18
2106,47.49,0.81,0.17,-1010.56,-0.04
2111,52.24,0.71,0.25,-1033.0,-0.29
2112,42.38,0.68,0.19,-1008.88,-0.03
2114,57.46,0.58,0.11,-1025.44,-0.19
2115,44.34,0.86,0.21,-1009.12,-0.05
2119,54.18,0.74,0.27,-1035.01,-0.24
2124,63.14,0.32,0.14,-1073.23,-0.84
