Episode,Kick_Speed,NN_start_speed,CRS_speed,Rewards,Stop_Distance
508,4.732,4.732,19.85,-443.169,94.63
509,24.616,24.616,9.973,-1039.892,-0.079
510,34.773,34.773,24.562,-572.421,0.107
511,38.318,38.318,28.7,-1114.799,-0.007
512,36.499,36.499,26.955,-1107.819,-0.021
513,1.814,1.814,26.955,-417.272,98.186
514,27.132,27.132,14.377,-1057.51,-0.047
515,14.657,14.657,14.377,-154.212,60.268
516,1.318,1.282,14.377,-422.78,98.483
517,40.466,40.466,31.696,-1126.785,-0.326
518,2.569,2.569,31.696,-401.813,97.342
519,39.952,39.952,30.218,-1120.872,-0.257
520,12.434,12.434,30.218,-226.736,71.175
521,20.32,20.32,30.218,-22.769,28.207
522,25.56,25.56,11.679,-1046.718,-0.023
523,21.519,21.519,11.679,-15.759,26.543
524,44.267,44.267,35.135,-1140.538,-0.125
525,41.562,41.562,32.952,-1131.807,-0.292
526,21.15,21.15,32.952,-9.449,19.381
527,41.499,41.499,32.514,-596.68,0.042
528,37.406,37.406,27.933,-588.059,0.065
529,18.45,18.45,27.933,-64.426,40.449
530,19.893,19.893,27.933,-33.521,30.448
531,17.052,17.052,27.933,-96.32,49.447
532,30.062,30.062,18.27,-1073.081,-0.122
533,35.758,35.758,25.814,-573.723,0.103
534,38.852,38.852,29.326,-586.115,0.07
535,27.519,27.519,14.833,-1059.331,-0.017
536,16.838,16.838,14.833,-82.585,47.849
537,14.649,14.649,14.833,-151.362,60.01
538,18.184,18.184,14.833,-30.198,35.036
539,34.836,34.836,24.655,-1098.619,-0.003
540,37.916,37.916,28.022,-1112.089,-0.117
541,15.352,15.352,28.022,-107.526,55.783
542,37.51,37.51,28.272,-611.278,0.005
543,38.78,38.78,29.746,-1118.983,-0.18
544,4.181,4.181,29.746,-367.731,95.44
545,7.582,7.582,29.746,-337.399,88.579
546,40.599,40.599,31.008,-1124.03,-0.003
547,2.609,2.609,31.008,-405.187,97.527
548,42.202,42.202,31.98,-1127.918,-0.14
549,8.495,8.495,31.98,-292.236,85.783
550,25.418,25.418,11.014,-1044.055,-0.025
551,37.433,36.7,27.752,-1111.006,-0.217
552,22.817,22.817,27.752,-0.926,15.583
553,36.103,36.103,25.097,-606.757,0.016
554,35.143,35.143,25.281,-1101.124,-0.007
555,9.219,9.219,25.281,-334.213,83.414
556,31.161,31.161,19.419,-1077.676,-0.12
557,38.916,38.916,28.915,-1115.66,-0.138
558,2.795,2.795,28.915,-401.946,97.35
559,24.137,24.137,7.084,-1028.336,-0.075
560,3.159,3.159,7.084,-385.077,96.416
561,28.513,28.513,15.649,-611.578,0.004
562,19.003,19.003,15.649,-40.255,36.778
563,23.387,23.387,0.001,0,11.412
564,26.896,26.896,12.869,-1051.475,-0.112
565,5.304,5.304,12.869,-421.36,93.432
566,5.586,5.586,12.869,-418.692,93.284
567,34.193,34.193,23.856,-1095.425,-0.055
568,27.632,27.632,13.995,-596.353,0.043
569,36.674,36.674,26.242,-544.147,0.186
570,31.558,31.558,20.613,-1082.45,-0.245
571,14.532,14.532,20.613,-150.437,65.038
572,5.27,5.27,20.613,-417.963,93.243
573,29.317,29.317,16.251,-1065.004,-0.003
574,40.1,40.1,30.839,-1123.358,-0.059
575,1.185,1.185,30.839,-423.322,98.513
576,10.971,10.971,30.839,-213.985,75.294
577,30.504,30.504,18.442,-601.845,0.029
578,12.517,12.517,18.442,-218.794,70.576
579,32.214,32.214,20.66,-1082.638,-0.283
